"","species","decimallongitude","decimallatitude"
"1","Sphyrna lewini",-82.182861,5.00945
"2","Sphyrna lewini",38.152,-17.296
"3","Sphyrna lewini",38.094,-17.309
"4","Sphyrna lewini",38.154,-17.295
"5","Sphyrna lewini",38.906,-17.04
"6","Sphyrna lewini",36.328,-18.846
"7","Sphyrna lewini",36.336,-18.838
"8","Sphyrna lewini",36.981,-18.015
"9","Sphyrna lewini",36.881,-18.156
"10","Sphyrna lewini",38.042,-17.33
"11","Sphyrna lewini",38.136,-17.288
"12","Sphyrna lewini",38.575,-17.116
"13","Sphyrna lewini",38.831,-17.06
"14","Sphyrna lewini",38.158,-17.293
"15","Sphyrna lewini",35.56368,-23.8527
"16","Sphyrna lewini",35.40329,-23.8176
"17","Sphyrna lewini",35.39292,-22.13317
"18","Sphyrna lewini",-88.68778,29.514139
"19","Sphyrna lewini",-81.607592,3.999936
"20","Sphyrna lewini",-77.75,6.75
"21","Sphyrna lewini",32.124685,-28.785335
"22","Sphyrna lewini",38.2,-17.5
"23","Sphyrna lewini",30.262717,-31.01065
"24","Sphyrna lewini",46.995717,-25.039117
"25","Sphyrna lewini",-28.844068,-20.488128
"26","Sphyrna lewini",-29.31035,-20.525417
"27","Sphyrna lewini",-38.134635,-19.848744
"28","Sphyrna lewini",-47.6,-30.566667
"29","Sphyrna lewini",-46.166667,-30.716667
"30","Sphyrna lewini",-47.757,-28.903167
"31","Sphyrna lewini",-45.616667,-25.083333
"32","Sphyrna lewini",146.99707,-19.24329
"33","Sphyrna lewini",113.625,-22.85
"34","Sphyrna lewini",158.25,-28.75
"35","Sphyrna lewini",113.625,-22.15
"36","Sphyrna lewini",114.375,-22.125
"37","Sphyrna lewini",153.25,-31.25
"38","Sphyrna lewini",178.5337833,-18.1622833
"39","Sphyrna lewini",-72.2519,39.4002
"40","Sphyrna lewini",114.225,-21.925
"41","Sphyrna lewini",113.9,-22
"42","Sphyrna lewini",114.125,-22.1
"43","Sphyrna lewini",113.625,-22.6
"44","Sphyrna lewini",156.75,-24.25
"45","Sphyrna lewini",153.25,-23.75
"46","Sphyrna lewini",113.625,-22.875
"47","Sphyrna lewini",-71.8965,39.7403
"48","Sphyrna lewini",146.1458,-17.8668
"49","Sphyrna lewini",114.2,-22.125
"50","Sphyrna lewini",-74.7666664124,35.625
"51","Sphyrna lewini",146.1219,-17.9359
"52","Sphyrna lewini",154.75,-22.75
"53","Sphyrna lewini",-80.31199646,32.4029998779
"54","Sphyrna lewini",-78.3666687012,31.608332634
"55","Sphyrna lewini",146.0833,-17.9506
"56","Sphyrna lewini",113.925,-21.9
"57","Sphyrna lewini",146.375,-17.875
"58","Sphyrna lewini",146.06917,-8.19917
"59","Sphyrna lewini",114.25,-34.75
"60","Sphyrna lewini",114.35,-22.05
"61","Sphyrna lewini",113.625,-22.325
"62","Sphyrna lewini",146.375,-18.1
"63","Sphyrna lewini",111.75,-33.25
"64","Sphyrna lewini",112.75,-33.25
"65","Sphyrna lewini",-73.011,40.1797
"66","Sphyrna lewini",151.75,-33.75
"67","Sphyrna lewini",146.1717,-18.0169
"68","Sphyrna lewini",146.0913,-17.9988
"69","Sphyrna lewini",-78.0456,33.4045
"70","Sphyrna lewini",114.125,-22.05
"71","Sphyrna lewini",114.125,-22.075
"72","Sphyrna lewini",-77.6666679382,32.7083339691
"73","Sphyrna lewini",145.74007,-16.48726
"74","Sphyrna lewini",-159.997177124,-0.373739987612
"75","Sphyrna lewini",113.625,-22.8
"76","Sphyrna lewini",-80.2910003662,32.3979988098
"77","Sphyrna lewini",-71.8192,40.5138
"78","Sphyrna lewini",146.1095,-17.9756
"79","Sphyrna lewini",-74.7583351135,35.6083335876
"80","Sphyrna lewini",113.625,-22.425
"81","Sphyrna lewini",-71.8941,40.3873
"82","Sphyrna lewini",128.25,-33.25
"83","Sphyrna lewini",153.25,-19.25
"84","Sphyrna lewini",146.079,-17.9478
"85","Sphyrna lewini",114.25,-33.75
"86","Sphyrna lewini",113.65,-22.2
"87","Sphyrna lewini",146.1587,-17.9518
"88","Sphyrna lewini",114.25,-34.25
"89","Sphyrna lewini",148.76393,-20.48524
"90","Sphyrna lewini",145.88683,-8.10117
"91","Sphyrna lewini",113.625,-22.825
"92","Sphyrna lewini",153.75,-31.25
